NAME,PRICE,CUISINE_CATEGORY,CITY,REGION,URL,PAGE NO,OUTLET_TYPE,TIMING,REVIEWS,RATING,VOTES
Rasoi The Kitchen,350.0,"Chinese,North Indian",Mumbai,Thane,https://www.zomato.com/mumbai/rasoi-the-kitchen-owale-thane-west/info,556,Quick Bites,"12noon to 4pm,7pm to 12midnight(Mon-Sun)",Average,3.0,18.0
Eggs Delight,250.0,"Fast Food,Street Food",Mumbai,Thane,https://www.zomato.com/mumbai/eggs-delight-ghodbunder-road-thane/info,556,Quick Bites,11am to 11pm(Mon-Sun),Average,3.2,11.0
Pankaj Farsan & Wafer Mart,200.0,"Mithai,Street Food",Mumbai,Vile Parle,https://www.zomato.com/mumbai/pankaj-farsan-wafer-mart-vile-parle-east/info,556,Sweet Shop,"Closed(Mon),830am to 10pm(Tue-Sun)",Good,3.6,46.0
Pratap's Kitchen,300.0,Chinese,Mumbai,Borivali,https://www.zomato.com/mumbai/prataps-kitchen-borivali-east/info,556,Quick Bites,"10am to 3pm,6pm to 12midnight(Mon-Sun)",Average,3.0,33.0
Juice Point,200.0,"Juices,Fast Food",Mumbai,Chakala,https://www.zomato.com/mumbai/juice-point-chakala/info,557,Beverage Shop,930am to 1130pm(Mon-Sun),Good,3.7,55.0
Surabhi,700.0,"Chinese,North Indian,Mughlai",Mumbai,Santacruz,https://www.zomato.com/mumbai/surabhi-santacruz-east/info,557,Casual Dining,"11am to 3pm,6pm to 12midnight(Mon-Sun)",Average,3.1,6.0
Chheda Fine Foods,350.0,"Mithai,Street Food",Mumbai,Nerul,https://www.zomato.com/mumbai/chheda-fine-foods-nerul-navi-mumbai/info,557,Sweet Shop,9am to 9pm(Mon-Sun),Average,3.4,10.0
Zaika Caterers,300.0,"North Indian,South Indian",Mumbai,Andheri,https://www.zomato.com/mumbai/zaika-caterers-near-andheri-east-station/info,557,Quick Bites,10am to 10pm(Mon-Sun),Average,3.3,7.0
Top In Town Bakery,400.0,"Bakery,Fast Food",Mumbai,Ambernath,https://www.zomato.com/mumbai/top-in-town-bakery-ambernath/info,557,Bakery,830am to 11pm(Mon-Sun),Good,3.5,17.0
Levantine,500.0,Cafe,Mumbai,Bandra,https://www.zomato.com/mumbai/levantine-pali-hill-bandra-west/info,557,Café,11am to 9pm(Mon-Sun),Good,3.7,33.0
Chintan Sandwich Corner,300.0,Street Food,Mumbai,Colaba,https://www.zomato.com/mumbai/chintan-sandwich-corner-colaba/info,557,Quick Bites,9am to 9pm(Mon-Sun),Average,3.4,10.0
Smiley Fast Food & Birju's Pav Bhaji,400.0,"Fast Food,Street Food",Mumbai,Thane,https://www.zomato.com/mumbai/smiley-fast-food-birjus-pav-bhaji-khopat-thane-west-thane/info,557,Quick Bites,11am to 1130pm(Mon-Sun),Average,3.3,13.0
